nohup: ignoring input
[PHB] Step 26050, mean energy: nan
[PHB] Step 26100, mean energy: nan
[PHB] Step 26150, mean energy: nan
[PHB] Step 26200, mean energy: nan
[PHB] Step 26250, mean energy: nan
[PHB] Step 26300, mean energy: nan
[PHB] Step 26350, mean energy: nan
[PHB] Step 26400, mean energy: nan
[PHB] Step 26450, mean energy: nan
[PHB] Step 26500, mean energy: nan
[PHB] Step 26550, mean energy: nan
[PHB] Step 26600, mean energy: nan
[PHB] Step 26650, mean energy: nan
[PHB] Step 26700, mean energy: nan
[PHB] Step 26750, mean energy: nan
[PHB] Step 26800, mean energy: nan
[PHB] Step 26850, mean energy: nan
[PHB] Step 26900, mean energy: nan
[PHB] Step 26950, mean energy: nan
[PHB] Step 27000, mean energy: nan
[PHB] Step 27050, mean energy: nan
[PHB] Step 27100, mean energy: nan
[PHB] Step 27150, mean energy: nan
[PHB] Step 27200, mean energy: nan
[PHB] Step 27250, mean energy: nan
[PHB] Step 27300, mean energy: nan
[PHB] Step 27350, mean energy: nan
[PHB] Step 27400, mean energy: nan
[PHB] Step 27450, mean energy: nan
[PHB] Step 27500, mean energy: nan
[PHB] Step 27550, mean energy: nan
[PHB] Step 27600, mean energy: nan
[PHB] Step 27650, mean energy: nan
[PHB] Step 27700, mean energy: nan
[PHB] Step 27750, mean energy: nan
[PHB] Step 27800, mean energy: nan
[PHB] Step 27850, mean energy: nan
[PHB] Step 27900, mean energy: nan
[PHB] Step 27950, mean energy: nan
[PHB] Step 28000, mean energy: nan
[PHB] Step 28050, mean energy: nan
[PHB] Step 28100, mean energy: nan
[PHB] Step 28150, mean energy: nan
[PHB] Step 50, mean energy: nan
[PHB] Step 28200, mean energy: nan
[PHB] Step 28250, mean energy: nan
[PHB] Step 28300, mean energy: nan
[PHB] Step 28350, mean energy: nan
[PHB] Step 100, mean energy: nan
[PHB] Step 28400, mean energy: nan
[PHB] Step 28450, mean energy: nan
[PHB] Step 28500, mean energy: nan
[PHB] Step 150, mean energy: nan
[PHB] Step 200, mean energy: nan
[PHB] Step 250, mean energy: nan
[PHB] Step 300, mean energy: nan
[PHB] Step 350, mean energy: nan
[PHB] Step 400, mean energy: nan
[PHB] Step 28550, mean energy: nan
[PHB] Step 450, mean energy: nan
[PHB] Step 28600, mean energy: nan
[PHB] Step 500, mean energy: nan
[PHB] Step 28650, mean energy: nan
[PHB] Step 28700, mean energy: nan
[PHB] Step 550, mean energy: nan
[PHB] Step 28750, mean energy: nan
[PHB] Step 600, mean energy: nan
[PHB] Step 28800, mean energy: nan
[PHB] Step 650, mean energy: nan
[PHB] Step 28850, mean energy: nan
[PHB] Step 700, mean energy: nan
[PHB] Step 28900, mean energy: nan
[PHB] Step 750, mean energy: nan
[PHB] Step 28950, mean energy: nan
[PHB] Step 800, mean energy: nan
[PHB] Step 29000, mean energy: nan
[PHB] Step 850, mean energy: nan
[PHB] Step 900, mean energy: nan
[PHB] Step 950, mean energy: nan
[PHB] Step 1000, mean energy: nan
[PHB] Step 29050, mean energy: nan
[PHB] Step 29100, mean energy: nan
[PHB] Step 29150, mean energy: nan
[PHB] Step 1050, mean energy: nan
[PHB] Step 29200, mean energy: nan
[PHB] Step 1100, mean energy: nan
[PHB] Step 29250, mean energy: nan
[PHB] Step 1150, mean energy: nan
[PHB] Step 29300, mean energy: nan
[PHB] Step 1200, mean energy: nan
[PHB] Step 29350, mean energy: nan
[PHB] Step 1250, mean energy: nan
[PHB] Step 29400, mean energy: nan
[PHB] Step 1300, mean energy: nan
[PHB] Step 29450, mean energy: nan
[PHB] Step 1350, mean energy: nan
[PHB] Step 29500, mean energy: nan
[PHB] Step 1400, mean energy: nan
[PHB] Step 1450, mean energy: nan
[PHB] Step 1500, mean energy: nan
[PHB] Step 29550, mean energy: nan
[PHB] Step 29600, mean energy: nan
[PHB] Step 29650, mean energy: nan
